time,resistance
40.54802322,12.13481631
40.62068963,12.13490077
40.69256639,12.13501885
40.76761889,12.13531222
40.84015059,12.13552112
40.91256714,12.13571821
40.98578691,12.13590713
41.05797243,12.13610876
41.13425541,12.13629223
41.20650458,12.13645844
41.27933073,12.13663101
41.35165644,12.13685808
41.42704225,12.13703065
41.49918365,12.13724318
41.57097983,12.13752474
41.64296103,12.13786261
41.71618867,12.13804154
41.78929019,12.13834853
41.86124969,12.13840939
41.93307686,12.13859649
42.00600576,12.13873273
42.0789969,12.13892619
42.15217924,12.13908695
42.22411418,12.13932492
42.29711509,12.13961647
42.37008309,12.13991892
42.44189763,12.14020684
42.51817536,12.14046569
42.59667063,12.14072818
42.66935825,12.14106514
42.7423296,12.14129039
42.81437373,12.14176905
42.88691854,12.14227041
42.95896268,12.14271364
43.03086233,12.14324588
43.10307217,12.14395614
43.17513132,12.14498974
43.24818802,12.14641299
43.32167339,12.14662461
43.39565158,12.14706058
43.46869278,12.14741843
43.54080415,12.14775903
43.6159873,12.14820408
43.69096494,12.14873632
43.76336169,12.14915775
43.83569717,12.14955103
43.90733767,12.14990343
43.97987819,12.1501859
44.05241203,12.15059644
44.12427998,12.1509225
44.19747043,12.15139752
44.26963139,12.1519225
44.34295273,12.15237845
44.41791081,12.15281259
44.49168754,12.15304693
44.56371379,12.15335846
44.63607383,12.1536482
44.70795441,12.15382894
44.77964735,12.15391795
44.85261536,12.15420405
44.92593265,12.15451377
44.99785161,12.15464274
45.07015729,12.15501422
45.14218569,12.1553748
45.21466041,12.15565
45.28676152,12.15598061
45.35877252,12.15624673
45.43484712,12.15648379
45.50918889,12.15681076
45.58290267,12.1569906
45.65528893,12.15718224
45.72712016,12.15752738
45.80049062,12.15808142
45.87253141,12.15857279
45.9452126,12.15892701
46.01770306,12.15938296
46.0899868,12.15979258
46.16168928,12.16022037
46.23387885,12.16069539
46.30588222,12.1610478
46.37941337,12.16153735
46.45188665,12.1623557
46.53530335,12.16311046
46.60716939,12.16379711
46.67931199,12.16413407
46.75205731,12.16441472
46.82391,12.1647535
46.89582276,12.1652149
46.96852946,12.16689609
47.04163408,12.16860544
47.11373973,12.16901779
47.18667102,12.16934749
47.25854897,12.16978346
47.3317492,12.17010044
47.40453076,12.17033931
47.47690368,12.1705364
47.54918265,12.17068627
47.62165618,12.17098418
47.69545746,12.17130934
47.76905274,12.17152641
47.84246349,12.17170534
47.91499972,12.17196237
47.98828483,12.17218762
48.06130195,12.1726027
